,siccd,date,roeq,roaq,acc,agr,bm,ep,gma,lev,operprof,currat,saleinv,roic,beta,idiovol,mom12m,mom1m,price,marketcap,mve,retvol,ticker,name,exchange,sicsector,sicindustry,famaindustry,sector,industry,scalemarketcap,scalerevenue
0,3826,2023-02-24,0.07228442349243763,0.03510110644792064,-0.005550504808842528,-0.01616067258290521,0.1211244268171422,0.028631485622751425,0.3476879962634283,0.11934352101285622,0.3713119317127482,2.03,1.0,0.13203463203463203,0.8915878612707389,0.024711104213508903,0.2008762254429335,-0.08022352109962105,141.2,41805.4,10.640780796771848,0.013540988362764465,A,AGILENT TECHNOLOGIES INC,NYSE,Manufacturing,Laboratory Analytical Instruments,Measuring and Control Equipment,Healthcare,Diagnostics & Research,5 - Large,5 - Large
1,3334,2023-02-24,-0.07354310184323218,-0.026536781995297277,-0.06162574586716228,-0.017903494176372714,0.5934319439256907,-0.014379852069121344,0.14901830282861897,0.9547987955163741,0.4128852739726027,1.748,1.0,0.08544046781092642,1.8881570269074504,0.08029057607462792,-0.28108130158686995,-0.09286930206166066,46.45,8284.3,9.022117436248934,0.026836233085606905,AA,ALCOA CORP,NYSE,Manufacturing,Primary Production Of Aluminum,Steel Works Etc,Basic Materials,Aluminum,5 - Large,5 - Large
2,2834,2023-02-24,-0.13311873447990435,-0.11251904599023602,-0.865275609483757,2.5149949001299374,0.33439387995902975,-0.26988125335168234,0.024930620531603637,0.0527162001278461,-0.4193426682906828,9.905,1.0,-0.7606982873106856,0.62580948772585,0.1315857794054851,-0.25828571428571423,-0.14714946070878276,10.71,261.3,5.565669172526567,0.014829848761518166,AADI,AADI BIOSCIENCE INC,NASDAQ,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Biotechnology,3 - Small,1 - Nano
3,7359,2023-02-24,-0.02167344655821616,-0.008083460068763246,-0.018792015876683603,0.0648768302206868,1.1459641717333342,0.17541964567430424,0.8566869874698642,1.1538356683777877,0.9315263768319685,,1.0,0.08571800323785606,1.1527009663247363,0.06505128390533489,-0.3094565809679497,0.015064562410330051,14.13,434.9,6.075116119603593,0.023961099403715325,AAN,AARON'S COMPANY INC,NYSE,Services,Services-Equipment Rental & Leasing Nec,Business Services,Consumer Cyclical,Specialty Retail,3 - Small,4 - Mid
4,3585,2023-02-24,0.05600950854831541,0.03537089680602334,-0.004502934102576839,0.4480365605958023,0.15154495202310056,0.01910135420763529,0.3069655774507358,0.0598189214702163,0.1969418437290696,2.513,1.0,0.07171502691705987,0.7915061976004238,0.038268105225379975,0.308172580842617,0.07446524064171123,81.47,4334.2,8.37429232777823,0.01926632394241089,AAON,AAON INC,NASDAQ,Manufacturing,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,Machinery,Basic Materials,Building Products & Equipment,4 - Mid,3 - Small
5,5531,2023-02-24,0.03971004816429316,0.00914337932979364,-0.04154907068776473,0.02994796461647975,0.2300159665678952,0.045300989303812454,0.4162921900639513,0.6665958798574938,0.22501005755845183,1.211,1.0,0.07243528188707997,1.3423566657858181,0.044744222949236204,-0.2619598881438494,-0.035716710803286644,138.85,8227.4,9.015225326383252,0.015560124246793912,AAP,ADVANCE AUTO PARTS INC,NYSE,Retail Trade,Retail-Auto & Home Supply Stores,Retail,Consumer Cyclical,Specialty Retail,5 - Large,5 - Large
6,3571,2023-02-24,0.592003473318598,0.0850391915068532,-0.0629114860333151,0.004994273536902849,0.020452625768013023,0.04028326116050292,0.4865556321616401,0.12192908410717315,2.2627516246631796,0.879,1.0,0.37302550680523777,1.0406531151790919,0.029298292139361568,-0.12758314176245222,0.04979868318424896,146.71,2321237.7,14.65761109276587,0.01687672692245689,AAPL,APPLE INC,NASDAQ,Manufacturing,Electronic Computers,Computers,Technology,Consumer Electronics,6 - Mega,6 - Mega
7,6798,2023-02-24,0.007826177421530968,0.0032005163903067796,-0.045133070246301595,-0.009955840548827033,0.7610207004939982,0.027110386849448633,0.08953662563739945,1.123122521041347,0.14515353149889745,,1.0,0.04158261360836143,1.2829563081342885,0.05204005692025596,-0.2188266528150521,-0.04654599187292208,25.47,1546.5,7.343749592125125,0.018043363976834252,AAT,AMERICAN ASSETS TRUST INC,NYSE,Finance Insurance And Real Estate,Real Estate Investment Trusts,Trading,Real Estate,REIT - Diversified,4 - Mid,3 - Small
8,4522,2023-02-24,0.0429669279009692,0.020185236237153258,-0.07537626814272183,0.03927727077808485,1.0512258863874426,0.12206773625464408,0.37801802601578116,1.2456273657361756,0.35841730628970464,0.96,1.0,0.07898383263895542,0.7297435340105164,0.06867823376549938,0.3694951664876476,-0.002156862745098076,101.75,2913.4,7.977076063014848,0.00117718173659075,AAWW,ATLAS AIR WORLDWIDE HOLDINGS INC,NASDAQ,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Nonscheduled,Transportation,Industrials,Airports & Air Services,4 - Mid,4 - Mid
9,6282,2023-02-24,0.040630751324895034,0.032054874245682666,-0.04972651512979358,0.2776647345303873,0.46257032710034296,0.06117723598541127,0.18814556795199303,0.00036215656266964236,0.18839385702234304,,1.0,0.08121338721471955,1.3295157726089881,0.03669065999771968,-0.0441727168513566,0.053543349057860956,39.23,4464.4,8.40389010578156,0.01786576838625173,AB,ALLIANCEBERNSTEIN HOLDING LP,NYSE,Finance Insurance And Real Estate,Investment Advice,Trading,Financial Services,Asset Management,4 - Mid,3 - Small
